checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2013,10,181,Digital,OverDrive,EBOOK,"The Pillars of the Earth: The Pillars of the Earth Series, Book 1",,Ken Follett,"Fiction, Historical Fiction, Suspense | Fiction, Thriller","Penguin Group (USA), Inc.",2009,balanced_by_year_and_usageclass
2014,1,1216,Digital,Zinio,MAGAZINE,Consumer Reports,,,,,,balanced_by_year_and_usageclass
2014,2,471,Digital,OverDrive,EBOOK,The Power of Habit: Why We Do What We Do in Life and Business,,Charles Duhigg,"Business, Nonfiction, Psychology, Self-Improvement","Random House, Inc.",2012,balanced_by_year_and_usageclass
2014,3,460,Digital,Zinio,MAGAZINE,Cosmopolitan,,,,,,balanced_by_year_and_usageclass
2014,4,246,Digital,Zinio,MAGAZINE,Newsweek,,,,,,balanced_by_year_and_usageclass
2014,5,218,Digital,OverDrive,EBOOK,The Paying Guests,,Sarah Waters,"Fiction, Historical Fiction, Literature","Penguin Group (USA), Inc.",2014,balanced_by_year_and_usageclass
2014,6,210,Digital,OverDrive,EBOOK,"Concealed in Death: In Death Series, Book 38",,J. D. Robb,"Fiction, Mystery, Romance, Suspense","Penguin Group (USA), Inc.",2014,balanced_by_year_and_usageclass
2014,7,190,Digital,Zinio,MAGAZINE,Country Living,,,,,,balanced_by_year_and_usageclass
2014,8,190,Digital,OverDrive,EBOOK,Night Film: A Novel,,Marisha Pessl,"Fiction, Literature, Suspense, Thriller","Random House, Inc.",2013,balanced_by_year_and_usageclass
2014,9,169,Digital,Freegal,SONG,Not a Bad Thing,,Justin Timberlake,,,,balanced_by_year_and_usageclass
2014,10,165,Digital,OverDrive,EBOOK,"Never Go Back: Jack Reacher Series, Book 18",,Lee Child,"Fiction, Mystery, Suspense, Thriller","Random House, Inc.",2013,balanced_by_year_and_usageclass
2015,1,1318,Digital,Zinio,MAGAZINE,Newsweek,,,,,,balanced_by_year_and_usageclass
2015,2,640,Digital,Zinio,MAGAZINE,Consumer Reports,,,,,,balanced_by_year_and_usageclass
2015,3,516,Digital,Zinio,MAGAZINE,Conde Nast Traveler,,,,,,balanced_by_year_and_usageclass
2015,4,450,Digital,OverDrive,EBOOK,"Never Go Back: Jack Reacher Series, Book 18",,Lee Child,"Fiction, Mystery, Suspense, Thriller","Random House, Inc.",2013,balanced_by_year_and_usageclass
2015,5,420,Digital,OverDrive,EBOOK,The Paying Guests,,Sarah Waters,"Fiction, Historical Fiction, Literature","Penguin Group (USA), Inc.",2014,balanced_by_year_and_usageclass
2015,6,402,Digital,Zinio,MAGAZINE,New York Review of Books,,,,,,balanced_by_year_and_usageclass
2015,7,395,Digital,Zinio,MAGAZINE,Cook's Illustrated,,,,,,balanced_by_year_and_usageclass
2015,8,328,Digital,Freegal | OverDrive,EBOOK | SONG,Never Let Me Go,,Bob James | Kazuo Ishiguro,"Fiction, Literature, Science Fiction","Random House, Inc.",2009,balanced_by_year_and_usageclass
2015,9,295,Digital,OverDrive,EBOOK,The Power of Habit: Why We Do What We Do in Life and Business,,Charles Duhigg,"Business, Nonfiction, Psychology, Self-Improvement","Random House, Inc.",2012,balanced_by_year_and_usageclass
2015,10,273,Digital,OverDrive,EBOOK,"Never Seduce a Scot: The Montgomerys and Armstrongs Series, Book 1",,Maya Banks,"Erotic Literature, Fiction, Historical Fiction, Romance","Random House, Inc.",2012,balanced_by_year_and_usageclass
2016,1,809,Digital,Zinio,MAGAZINE,Newsweek,,,,,,balanced_by_year_and_usageclass
2016,2,660,Digital,Zinio,MAGAZINE,Cook's Illustrated,,,,,,balanced_by_year_and_usageclass
2016,3,657,Digital,OverDrive,EBOOK,The Power of Habit: Why We Do What We Do in Life and Business,,Charles Duhigg,"Business, Nonfiction, Psychology, Self-Improvement","Random House, Inc.",2012,balanced_by_year_and_usageclass
2016,4,633,Digital,Zinio,MAGAZINE,Conde Nast Traveler,,,,,,balanced_by_year_and_usageclass
2016,5,372,Digital,OverDrive,EBOOK,Commonwealth,,Ann Patchett,"Fiction, Literature",HarperCollins Publishers Inc.,2016,balanced_by_year_and_usageclass
2016,6,295,Digital,Zinio,MAGAZINE,New York Review of Books,,,,,,balanced_by_year_and_usageclass
2016,7,247,Digital,OverDrive,EBOOK,The Portable Veblen: A Novel,,Elizabeth Mckenzie,"Fiction, Humor (Fiction), Literature","Penguin Group (USA), Inc.",2016,balanced_by_year_and_usageclass
2016,8,211,Digital,OverDrive,AUDIOBOOK,The Power of Habit: Why We Do What We Do in Life and Business (unabridged) (Unabridged),,Charles Duhigg,"Business, Nonfiction, Psychology, Self-Improvement",Books on Tape,2012,balanced_by_year_and_usageclass
2016,9,207,Digital,OverDrive,EBOOK,Night Film: A Novel,,Marisha Pessl,"Fiction, Literature, Suspense | Fiction, Literature, Suspense, Thriller","Random House, Inc.",2013,balanced_by_year_and_usageclass
2016,10,186,Digital,Freegal | Hoopla | OverDrive,EBOOK | MOVIE | SONG,Night,,"Bruce Springsteen | Christopher Tyng | Elie Wiesel | Jackie Wilson | Ludovico Einaudi,Amsterdam Sinfonietta | Tor Lundvall","Biography & Autobiography, History, Nonfiction | Documentary, World","Macmillan Publishers | MouseTrap Films, LLC",2013,balanced_by_year_and_usageclass
2017,1,879,Digital,OverDrive,EBOOK,Commonwealth,,Ann Patchett,"Fiction, Literature",HarperCollins Publishers Inc.,2016,balanced_by_year_and_usageclass
2017,2,710,Digital,OverDrive,EBOOK,"Night School: Jack Reacher Series, Book 21",,Lee Child,"Fiction, Mystery, Suspense, Thriller","Random House, Inc.",2016,balanced_by_year_and_usageclass
2017,3,704,Digital,Zinio,MAGAZINE,Conde Nast Traveler,,,,,,balanced_by_year_and_usageclass
2017,4,673,Digital,Zinio,MAGAZINE,Cook's Illustrated,,,,,,balanced_by_year_and_usageclass
2017,5,659,Digital,OverDrive,EBOOK,The Power of Habit: Why We Do What We Do in Life and Business,,Charles Duhigg,"Business, Nonfiction, Psychology, Self-Improvement","Random House, Inc.",2012,balanced_by_year_and_usageclass
2017,6,427,Digital,OverDrive,EBOOK,The Princess Diarist,,Carrie Fisher,"Essays, Humor (Nonfiction), Nonfiction, Self Help","Penguin Group (USA), Inc.",2016,balanced_by_year_and_usageclass
