checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2009,7,472,Physical,Horizon,VIDEODISC,"City of Ember [videorecording] / 20th Century Fox ; Walden Media presents a Playtone production ; a film by Gil Kenan ; produced by Gary Goetzman, Tom Hanks, Steve Shareshian ; screenplay by Caroline Thompson ; directed by Gil Kenan.",,,"Occupations Juvenile drama, Technology and civilization Juvenile drama, Civilization Subterranean Juvenile drama, Electric generators Juvenile drama, Architects and builders Juvenile drama, Teenagers Conduct of life Juvenile drama, Feature films, Childrens films, Video recordings for the hearing impaired","20th Century Fox Home Entertainment,",2008.,balanced_by_year_and_usageclass
2009,8,384,Physical,Horizon,VIDEODISC,"CJ7 [videorecording] = Changjiang 7 hao / Sony Pictures Classics ; Columbia Pictures Film Production Asia ; Beijing Film Studio of China Film Group Corporation ; Star Overseas ; producers, Chiu Po Chu, Han San Ping ; written by Vincent Kok, Tsang Kan Cheong, Sandy Shaw Lai King, Fung Chih Chiang, Lam Fung ; written, produced and directed by Stephen Chow.",,,"Construction workers Drama, Fathers and sons China Drama, School children Drama, Human alien encounters Drama, China Drama, Science fiction films, Video recordings for the hearing impaired, Fiction films, Motion pictures Chinese, Feature films, Comedy films","Sony Pictures Home Entertainment,",c2008.,balanced_by_year_and_usageclass
2009,9,347,Physical,Horizon,VIDEODISC,"The ice harvest [videorecording] / Focus Features ; Bona Fide Productions ; produced by Albert Berger, Ron Yerxa ; screenplay by Richard Russo & Robert Benton ; directed by Harold Ramis.",,,"Lawyers Kansas Wichita Drama, Embezzlement Drama, Ice storms Kansas Wichita Drama, Feature films, Comedy films, Video recordings for the hearing impaired","Focus Features : Distributed by Universal Studios Home Entertainment,",[2006],balanced_by_year_and_usageclass
2009,10,310,Physical,Horizon,VIDEODISC,"The last king of Scotland [videorecording] / DNA Films ; Fox Searchlight Pictures ; FilmFour ; Cowboy Films ; Scottish Screen ; Slate Films ; Tatfilm ; UK Film Council ; produced by Lisa Bryer, Andrea Calderwood, Christine Ruppert, Charles Steel ; written by Jeremy Brock, Peter Morgan ; directed by Kevin Macdonald.",,,"Amin Idi 1925 2003 Drama, Physician and patient Uganda Drama, Genocide Uganda Drama, Dictators Uganda Drama, Despotism Uganda Drama, Uganda History 1971 1979 Drama, Uganda Politics and government 1971 1979 Drama, Feature films, Biographical films, Historical films, Video recordings for the hearing impaired, Thrillers Motion pictures","20th Century Fox Home Entertainment,",[2007],balanced_by_year_and_usageclass
2010,1,658,Physical,Horizon,VIDEODISC,"Mamma mia! [videorecording] / Universal Pictures ; a Playtone/Littlestar production ; produced by Judy Craymer, Gary Goetzman ; screenplay by Catherine Johnson ; directed by Phyllida Lloyd.",,,"Mothers and daughters Drama, Fathers and daughters Drama, Weddings Drama, Man woman relationships Drama, Greece Drama, Musical films, Romantic comedy films, Video recordings for the hearing impaired, Feature films, Fiction films","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
2010,2,623,Physical,Horizon,VIDEODISC,"Man on wire [videorecording] / Magnolia Pictures, Discovery Films, BBC and the UK Film Council present a Wall to Wall production in association with Red Box Films ; co-producers, Victoria Gregory, Maureen A. Ryan ; produced by Simon Chinn ; directed by James Marsh.",,,"Petit Philippe 1949, Aerialists France Biography, World Trade Center New York N Y, Documentary films, Biographical films, Video recordings for the hearing impaired","Magnolia Home Entertainment,",2008.,balanced_by_year_and_usageclass
2010,3,537,Physical,Horizon,VIDEODISC,"Marley & me [videorecording] / Fox 2000 Pictures and Regency Enterprises ; a Gil Netter/Sunswept Entertainment production ; produced by Gil Netter, Karen Rosenfelt ; screenplay by Scott Frank and Don Roos ; directed by David Frankel.",,,"Labrador retriever Drama, Dogs Training Drama, Journalists Drama, Married people Drama, Families Drama, Human animal relationships Drama, Philadelphia Pa Drama, Florida Drama, Video recordings for the hearing impaired, Feature films, Fiction films, Comedy films","20th Century Fox Home Entertainment,",[2009],balanced_by_year_and_usageclass
2010,4,514,Physical,Horizon,VIDEODISC,Clash of the Titans [videorecording] / Metro-Goldwyn-Mayer ; produced by Charles H. Schneer and Ray Harryhausen ; written by Beverly Cross ; directed by Desmond Davis.,,,"Perseus Greek mythology Drama, Andromeda Greek mythology Drama, Zeus Greek deity Drama, Medusa Greek mythology Drama, Pegasus Greek mythology Drama, Fate and fatalism Drama, Riddles Drama, Fantasy films, Action and adventure films, Video recordings for the hearing impaired, Feature films, Fiction films","Distributed by Warner Home Video,",[2010],balanced_by_year_and_usageclass
2010,5,496,Physical,Horizon,VIDEODISC,Cleaner,,,"Police corruption Drama, Video recordings for the hearing impaired, Murder Investigation Drama, Suspense films, Feature films, Thrillers Motion pictures, Ex police officers Drama, Fiction films, Crime scenes Cleaning Drama",,,balanced_by_year_and_usageclass
2010,6,383,Physical,Horizon,BOOK,The lonely polygamist : a novel / Brady Udall.,,"Udall, Brady","Middle aged men Fiction, Polygamy Fiction, Bereavement Psychological aspects Fiction, Families Fiction","W.W. Norton,",c2010.,balanced_by_year_and_usageclass
2010,7,376,Physical,Horizon,BOOK,The lightning thief / Rick Riordan.,,"Riordan, Rick","Mythology Greek Juvenile fiction, Fantasy Fiction","Hyperion Books for Children,",c2005.,balanced_by_year_and_usageclass
2010,8,336,Physical,Horizon,VIDEODISC,"Martian child [videorecording] / New Line Cinema presents Rachel Production Services, Ltd. ; New Line Cinema ; produced by David Kirschner, Corey Sienega, Ed Elbert ; screenplay by Seth E. Bass & Jonathan Tolins ; directed by Menno Meyjes.",,,"Widowers Drama, Authors Drama, Adoption Drama, Imagination in children Drama, Life on other planets Drama, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","New Line Home Entertainment : Warner Home Video [distributor],",[2008],balanced_by_year_and_usageclass
2010,9,334,Physical,Horizon,VIDEODISC,"The life aquatic with Steve Zissou [videorecording] / Life Aquatic ; Touchstone Pictures ; Scott Rudin Productions ; American Empirical Pictures ; produced by Wes Anderson, Barry Mendel, Scott Rudin ; written by Wes Anderson & Noah Baumbach ; directed by Wes Anderson.",,,"Oceanographers Drama, Scientific expeditions Drama, Sharks Drama, Man woman relationships Drama, Feature films, Comedy films, Video recordings for the hearing impaired","Touchstone Home Entertainment ; Distributed by Buena Vista Home Entertainment,",[2005].,balanced_by_year_and_usageclass
2010,10,328,Physical,Horizon,VIDEODISC,"Married life [videorecording] / Sony Pictures Classics ; Sidney Kimmel Entertainment ; an Anonymous Content,/Firm Films production ; produced by Steve Golin, Sidney Kimmel, Jawal Nga, Ira Sachs ; screenplay by Ira Sachs & Oren Moverman ; directed by Ira Sachs.",,,"Man woman relationships Drama, Triangles Interpersonal relations Drama, Uxoricide Drama, Middle class men Drama, Video recordings for the hearing impaired, Fiction films, Feature films","Sony Pictures Home Entertainment,",[2008],balanced_by_year_and_usageclass
2011,1,839,Physical,Horizon,BOOK,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
2011,2,719,Physical,Horizon,VIDEODISC,"The men who stare at goats [videorecording] / Overture Films in association with Winchester Capital Management and BBC Films ; a Smokehouse/Paul Lister production ; produced by Paul Lister, George Clooney, Grant Heslov ; screenplay by Peter Straughan ; directed by Grant Heslov.",,,"Reporters and reporting Drama, United States Army Military life Drama, Parapsychology Military aspects Drama, Psychics Drama, United States Army Search and rescue operations Drama, Comedy films, War films, Feature films, Fiction films","Distributed by Anchor Bay Entertainment,",[2010],balanced_by_year_and_usageclass
2011,3,554,Physical,Horizon,VIDEODISC,Cleaner,,,"Crime scenes Cleaning Drama, Murder Investigation Drama, Police corruption Drama, Ex police officers Drama, Feature films, Fiction films, Thrillers Motion pictures, Video recordings for the hearing impaired, Suspense films | Police corruption Drama, Video recordings for the hearing impaired, Murder Investigation Drama, Suspense films, Feature films, Thrillers Motion pictures, Ex police officers Drama, Fiction films, Crime scenes Cleaning Drama",,,balanced_by_year_and_usageclass
2011,4,392,Physical,Horizon,BOOK,"Click, clack, moo : cows that type / by Doreen Cronin ; pictures by Betsy Lewin.",,"Cronin, Doreen","Cows Juvenile fiction, Domestic animals Juvenile fiction, Typewriters Juvenile fiction","Simon & Schuster Books for Young Readers,",c2000.,balanced_by_year_and_usageclass
2011,5,354,Physical,Horizon,VIDEODISC,"Client 9 [videorecording] : the rise and fall of Eliot Spitzer / Magnolia Pictures and A&E Indiefilms present in association with Wider Film Projects and Jigsaw Productions ; produced by Alex Gibney, Jedd Wider, Todd Wider ; written and directed by Alex Gibney.",,,"Spitzer Eliot, Governors New York State Biography, Attorneys general New York State Biography, New York State Politics and government 1951, Political corruption New York State, Documentary films, Nonfiction films, Video recordings for the hearing impaired","Distributed by Magnolia Home Entertainment,",c2011.,balanced_by_year_and_usageclass
2011,6,284,Physical,Horizon,VIDEODISC,"Megamind [videorecording] / Dreamworks Animation SKG presents ; a PDI/Dreamworks production ; written by Alan Schoolcraft & Brent Simons ; produced by Lara Breay, Denise Nolan Cascino ; directed by Tom McGrath.",,,"Superheroes Juvenile drama, Criminals Juvenile drama, Good and evil Juvenile drama, Feature films, Animated films, Comedy films, Childrens films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","DreamWorks Home Entertainment,","2011, c2010.",balanced_by_year_and_usageclass
2011,7,265,Physical,Horizon,VIDEODISC,"The messenger [videorecording] / Oscilloscope Laboratores ; Omnilab Media ; Sherezade Films ; the Mark Gordon Company ; Good ; produced by Mark Gordon, Lawrence Inglee, Zach Miller ; written by Alessandro Camon & Oren Moverman ; directed by Oren Moverman.",,,"Iraq War 2003 2011 Veterans Drama, Veterans Drama, War widows Drama, Man woman relationships Drama, Feature films, Fiction films","Oscilloscope Pictures,",2010.,balanced_by_year_and_usageclass
2011,8,232,Physical,Horizon,VIDEODISC,Clean,,,"Drug addicts Rehabilitation Drama, Mothers and sons Drama, Children of drug addicts Drama, Feature films, Fiction films | Mothers and sons Drama, Feature films, Drug addicts Rehabilitation Drama, Children of drug addicts Drama, Fiction films",,,balanced_by_year_and_usageclass
2011,9,230,Physical,Horizon,VIDEODISC,"Cleopatra [videorecording] / Twentieth Century Fox ; produced by Walter Wanger ; screenplay by Joseph L. Mankiewicz, Ranald MacDougall and Sidney Buchman ; directed by Joseph L. Mankiewicz.",,,"Cleopatra Queen of Egypt 30 B C Drama, Antonius Marcus 83 30 B C Drama, Caesar Julius Drama, Queens Egypt Drama, Egypt History 332 30 B C Drama, Feature films, Video recordings for the hearing impaired","Twentieth Century Fox Home Entertainment, Inc.,",[2006],balanced_by_year_and_usageclass
2011,10,230,Physical,Horizon,BOOK,Clifford the big red dog / story and pictures by Norman Bridwell.,,"Bridwell, Norman",Dogs Fiction,"Scholastic,","2002, c1963.",balanced_by_year_and_usageclass
2012,1,1154,Physical,Horizon,VIDEODISC,"Midnight in Paris [videorecording] / Sony Pictures Classics ; a Mediapro, Versátil Cinema & Gravier production ; a Pontchartrain production ; produced by Letty Aronson, Stephen Tenenbaum, Jaume Roures ; written and directed by Woody Allen.",,,"Paris France Drama, Time travel Drama, Fianc‚s Drama, Fianc‚es Drama, Feature films, Fiction films, Fantasy films, Comedy films, Video recordings for the hearing impaired","Sony Pictures Classics,",c2011.,balanced_by_year_and_usageclass
2012,2,990,Physical,Horizon,VIDEODISC,"The muppets [videorecording] / Disney presents ; produced by David Hoberman, Todd Lieberman ; written by Jason Segel, Nicholas Stoller ; directed by James Bobin.",,,"Muppets Fictitious characters Juvenile drama, Fund raising Juvenile drama, Los Angeles Calif Juvenile drama, Puppet films, Feature films, Childrens films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Disney DVD : Distributed by Buena Vista Home Entertainment,",2012.,balanced_by_year_and_usageclass
