usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear,sample_design
Physical,Horizon,VIDEODISC,2012,7,233,"Midnight in Paris [videorecording] / Sony Pictures Classics ; a Mediapro, Versátil Cinema & Gravier production ; a Pontchartrain production ; produced by Letty Aronson, Stephen Tenenbaum, Jaume Roures ; written and directed by Woody Allen.",,,"Paris France Drama, Time travel Drama, Fianc‚s Drama, Fianc‚es Drama, Feature films, Fiction films, Fantasy films, Comedy films, Video recordings for the hearing impaired","Sony Pictures Classics,",c2011.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2012,10,215,"Midnight in Paris [videorecording] / Sony Pictures Classics ; a Mediapro, Versátil Cinema & Gravier production ; a Pontchartrain production ; produced by Letty Aronson, Stephen Tenenbaum, Jaume Roures ; written and directed by Woody Allen.",,,"Paris France Drama, Time travel Drama, Fianc‚s Drama, Fianc‚es Drama, Feature films, Fiction films, Fantasy films, Comedy films, Video recordings for the hearing impaired","Sony Pictures Classics,",c2011.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2012,11,230,"Midnight in Paris [videorecording] / Sony Pictures Classics ; a Mediapro, Versátil Cinema & Gravier production ; a Pontchartrain production ; produced by Letty Aronson, Stephen Tenenbaum, Jaume Roures ; written and directed by Woody Allen.",,,"Paris France Drama, Time travel Drama, Fianc‚s Drama, Fianc‚es Drama, Feature films, Fiction films, Fantasy films, Comedy films, Video recordings for the hearing impaired","Sony Pictures Classics,",c2011.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2012,12,257,"Midnight in Paris [videorecording] / Sony Pictures Classics ; a Mediapro, Versátil Cinema & Gravier production ; a Pontchartrain production ; produced by Letty Aronson, Stephen Tenenbaum, Jaume Roures ; written and directed by Woody Allen.",,,"Paris France Drama, Time travel Drama, Fianc‚s Drama, Fianc‚es Drama, Feature films, Fiction films, Fantasy films, Comedy films, Video recordings for the hearing impaired","Sony Pictures Classics,",c2011.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2013,6,319,"Cloud atlas [videorecording] / Warner Bros. Pictures ; a Cloud Atlas/X-Filme Creative Pool/Anarchos production ; produced by Grant Hill, Stefan Arndt, Lana Wachowski, Tom Tykwer, Andy Wachowski ; written for the screen and directed by Lana Wachowski, Tom Tykwer, Andy Wachowski.",,,"Fate and fatalism Drama, Reincarnation Drama, Feature films, Science fiction films, Video recordings for the hearing impaired, Fiction films","Warner Home Video,",c2013.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2013,9,283,"Cloud atlas [videorecording] / Warner Bros. Pictures ; a Cloud Atlas/X-Filme Creative Pool/Anarchos production ; produced by Grant Hill, Stefan Arndt, Lana Wachowski, Tom Tykwer, Andy Wachowski ; written for the screen and directed by Lana Wachowski, Tom Tykwer, Andy Wachowski.",,,"Fate and fatalism Drama, Reincarnation Drama, Feature films, Science fiction films, Video recordings for the hearing impaired, Fiction films","Warner Home Video,",c2013.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2013,11,270,"Cloud atlas [videorecording] / Warner Bros. Pictures ; a Cloud Atlas/X-Filme Creative Pool/Anarchos production ; produced by Grant Hill, Stefan Arndt, Lana Wachowski, Tom Tykwer, Andy Wachowski ; written for the screen and directed by Lana Wachowski, Tom Tykwer, Andy Wachowski.",,,"Fate and fatalism Drama, Reincarnation Drama, Feature films, Science fiction films, Video recordings for the hearing impaired, Fiction films","Warner Home Video,",c2013.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2013,12,279,"Cloud atlas [videorecording] / Warner Bros. Pictures ; a Cloud Atlas/X-Filme Creative Pool/Anarchos production ; produced by Grant Hill, Stefan Arndt, Lana Wachowski, Tom Tykwer, Andy Wachowski ; written for the screen and directed by Lana Wachowski, Tom Tykwer, Andy Wachowski.",,,"Fate and fatalism Drama, Reincarnation Drama, Feature films, Science fiction films, Video recordings for the hearing impaired, Fiction films","Warner Home Video,",c2013.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2014,6,165,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2014,7,165,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
